#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0044248	Cellular catabolic process	30	1620	0.39	0.48	0.0019	9606.ENSP00000216225,9606.ENSP00000252951,9606.ENSP00000263228,9606.ENSP00000264346,9606.ENSP00000265605,9606.ENSP00000287156,9606.ENSP00000296161,9606.ENSP00000306565,9606.ENSP00000333266,9606.ENSP00000338348,9606.ENSP00000342278,9606.ENSP00000345575,9606.ENSP00000354201,9606.ENSP00000356436,9606.ENSP00000366395,9606.ENSP00000369373,9606.ENSP00000379038,9606.ENSP00000400646,9606.ENSP00000414922,9606.ENSP00000417401,9606.ENSP00000421380,9606.ENSP00000430269,9606.ENSP00000435460,9606.ENSP00000455607,9606.ENSP00000464087,9606.ENSP00000476480,9606.ENSP00000479130,9606.ENSP00000486676,9606.ENSP00000495556,9606.ENSP00000496832	RBX1,HBZ,UBE2R2,HERC6,ALDH8A1,UBE2L6,DTX3L,ISG20,UBA7,UBE2G2,OAS2,DNAJB12,UBE2Z,PLA2G4A,SYVN1,TRIM5,TYMP,PNPT1,USP41,HELZ2,SNF8,EPHX2,LGALS8,PHKG2,RNF213,NT5C3A,ACSF3,TREX1,TBL1X,ISG15
GO Process	GO:0001819	Positive regulation of cytokine production	15	482	0.61	0.56	0.0021	9606.ENSP00000228928,9606.ENSP00000251642,9606.ENSP00000259951,9606.ENSP00000301838,9606.ENSP00000342278,9606.ENSP00000359385,9606.ENSP00000369213,9606.ENSP00000371471,9606.ENSP00000378856,9606.ENSP00000381101,9606.ENSP00000388001,9606.ENSP00000393978,9606.ENSP00000433209,9606.ENSP00000496832,9606.ENSP00000498321	OAS3,DHX58,HLA-F,FADD,OAS2,GLMN,DDX58,RSAD2,LGALS9,SERPINB7,OAS1,PRKD2,GSDMD,ISG15,MYD88
GO Process	GO:0060759	Regulation of response to cytokine stimulus	9	163	0.86	0.63	0.0023	9606.ENSP00000228928,9606.ENSP00000301838,9606.ENSP00000353512,9606.ENSP00000369213,9606.ENSP00000370208,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000486676,9606.ENSP00000496832	OAS3,FADD,PARP9,DDX58,RABGEF1,OAS1,PARP14,TREX1,ISG15
GO Process	GO:0002683	Negative regulation of immune system process	14	433	0.63	0.55	0.0027	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000259951,9606.ENSP00000301838,9606.ENSP00000359385,9606.ENSP00000359504,9606.ENSP00000370208,9606.ENSP00000378856,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000486676,9606.ENSP00000496832	OAS3,NMI,DHX58,BST2,HLA-F,FADD,GLMN,GBP1,RABGEF1,LGALS9,OAS1,PARP14,TREX1,ISG15
GO Process	GO:0071345	Cellular response to cytokine stimulus	18	711	0.52	0.5	0.0035	9606.ENSP00000243346,9606.ENSP00000245185,9606.ENSP00000257570,9606.ENSP00000338348,9606.ENSP00000342278,9606.ENSP00000359490,9606.ENSP00000359504,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000370208,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000400646,9606.ENSP00000484689,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000498321	NMI,MT2A,OASL,UBE2G2,OAS2,GBP4,GBP1,IFIT1,IFIT3,RABGEF1,LGALS9,MX1,OAS1,PNPT1,IFITM2,TREX1,IFIT2,MYD88
GO Process	GO:0002682	Regulation of immune system process	27	1438	0.39	0.44	0.0044	9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000259951,9606.ENSP00000262384,9606.ENSP00000301838,9606.ENSP00000324204,9606.ENSP00000341422,9606.ENSP00000353512,9606.ENSP00000356436,9606.ENSP00000359385,9606.ENSP00000359504,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000370208,9606.ENSP00000371471,9606.ENSP00000378856,9606.ENSP00000388001,9606.ENSP00000393978,9606.ENSP00000418194,9606.ENSP00000478874,9606.ENSP00000486676,9606.ENSP00000496832,9606.ENSP00000498321	SLC15A3,OAS3,NMI,DHX58,BST2,OASL,HLA-F,N4BP1,FADD,MTURN,P4HTM,PARP9,PLA2G4A,GLMN,GBP1,DDX58,TRIM5,RABGEF1,RSAD2,LGALS9,OAS1,PRKD2,PARP14,CAMK1D,TREX1,ISG15,MYD88
GO Process	GO:0070936	Protein K48-linked ubiquitination	6	64	1.09	0.6	0.0048	9606.ENSP00000216225,9606.ENSP00000243346,9606.ENSP00000263228,9606.ENSP00000296161,9606.ENSP00000338348,9606.ENSP00000366395	RBX1,NMI,UBE2R2,DTX3L,UBE2G2,SYVN1
GO Process	GO:0031348	Negative regulation of defense response	10	232	0.75	0.53	0.0051	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000259951,9606.ENSP00000370208,9606.ENSP00000378856,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000486676,9606.ENSP00000496832	OAS3,NMI,DHX58,HLA-F,RABGEF1,LGALS9,OAS1,PARP14,TREX1,ISG15
GO Process	GO:0032760	Positive regulation of tumor necrosis factor production	7	101	0.96	0.56	0.0057	9606.ENSP00000228928,9606.ENSP00000301838,9606.ENSP00000342278,9606.ENSP00000369213,9606.ENSP00000378856,9606.ENSP00000388001,9606.ENSP00000498321	OAS3,FADD,OAS2,DDX58,LGALS9,OAS1,MYD88
GO Process	GO:0043632	Modification-dependent macromolecule catabolic process	16	601	0.54	0.47	0.0057	9606.ENSP00000216225,9606.ENSP00000263228,9606.ENSP00000264346,9606.ENSP00000287156,9606.ENSP00000296161,9606.ENSP00000333266,9606.ENSP00000338348,9606.ENSP00000345575,9606.ENSP00000354201,9606.ENSP00000366395,9606.ENSP00000400646,9606.ENSP00000414922,9606.ENSP00000421380,9606.ENSP00000464087,9606.ENSP00000495556,9606.ENSP00000496832	RBX1,UBE2R2,HERC6,UBE2L6,DTX3L,UBA7,UBE2G2,DNAJB12,UBE2Z,SYVN1,PNPT1,USP41,SNF8,RNF213,TBL1X,ISG15
GO Process	GO:0060338	Regulation of type I interferon-mediated signaling pathway	5	40	1.22	0.58	0.0067	9606.ENSP00000228928,9606.ENSP00000301838,9606.ENSP00000388001,9606.ENSP00000486676,9606.ENSP00000496832	OAS3,FADD,OAS1,TREX1,ISG15
GO Process	GO:0009057	Macromolecule catabolic process	21	989	0.45	0.43	0.0070	9606.ENSP00000216225,9606.ENSP00000263228,9606.ENSP00000264346,9606.ENSP00000287156,9606.ENSP00000296161,9606.ENSP00000306565,9606.ENSP00000333266,9606.ENSP00000338348,9606.ENSP00000342278,9606.ENSP00000345575,9606.ENSP00000354201,9606.ENSP00000366395,9606.ENSP00000400646,9606.ENSP00000414922,9606.ENSP00000417401,9606.ENSP00000421380,9606.ENSP00000455607,9606.ENSP00000464087,9606.ENSP00000486676,9606.ENSP00000495556,9606.ENSP00000496832	RBX1,UBE2R2,HERC6,UBE2L6,DTX3L,ISG20,UBA7,UBE2G2,OAS2,DNAJB12,UBE2Z,SYVN1,PNPT1,USP41,HELZ2,SNF8,PHKG2,RNF213,TREX1,TBL1X,ISG15
GO Process	GO:0060339	Negative regulation of type I interferon-mediated signaling pathway	4	19	1.44	0.59	0.0071	9606.ENSP00000228928,9606.ENSP00000388001,9606.ENSP00000486676,9606.ENSP00000496832	OAS3,OAS1,TREX1,ISG15
GO Process	GO:0060337	Type I interferon signaling pathway	5	42	1.19	0.56	0.0077	9606.ENSP00000342278,9606.ENSP00000388001,9606.ENSP00000484689,9606.ENSP00000486676,9606.ENSP00000498321	OAS2,OAS1,IFITM2,TREX1,MYD88
GO Process	GO:0001959	Regulation of cytokine-mediated signaling pathway	8	152	0.84	0.51	0.0082	9606.ENSP00000228928,9606.ENSP00000301838,9606.ENSP00000353512,9606.ENSP00000370208,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000486676,9606.ENSP00000496832	OAS3,FADD,PARP9,RABGEF1,OAS1,PARP14,TREX1,ISG15
GO Process	GO:1901575	Organic substance catabolic process	29	1686	0.35	0.39	0.0082	9606.ENSP00000216225,9606.ENSP00000263228,9606.ENSP00000264346,9606.ENSP00000265605,9606.ENSP00000287156,9606.ENSP00000296161,9606.ENSP00000306565,9606.ENSP00000333266,9606.ENSP00000337354,9606.ENSP00000338348,9606.ENSP00000342278,9606.ENSP00000345575,9606.ENSP00000354201,9606.ENSP00000356436,9606.ENSP00000366395,9606.ENSP00000376840,9606.ENSP00000379038,9606.ENSP00000400646,9606.ENSP00000414922,9606.ENSP00000417401,9606.ENSP00000421380,9606.ENSP00000430269,9606.ENSP00000455607,9606.ENSP00000464087,9606.ENSP00000476480,9606.ENSP00000479130,9606.ENSP00000486676,9606.ENSP00000495556,9606.ENSP00000496832	RBX1,UBE2R2,HERC6,ALDH8A1,UBE2L6,DTX3L,ISG20,UBA7,LIPA,UBE2G2,OAS2,DNAJB12,UBE2Z,PLA2G4A,SYVN1,BPGM,TYMP,PNPT1,USP41,HELZ2,SNF8,EPHX2,PHKG2,RNF213,NT5C3A,ACSF3,TREX1,TBL1X,ISG15
GO Process	GO:0001960	Negative regulation of cytokine-mediated signaling pathway	6	75	1.02	0.53	0.0091	9606.ENSP00000228928,9606.ENSP00000370208,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000486676,9606.ENSP00000496832	OAS3,RABGEF1,OAS1,PARP14,TREX1,ISG15
GO Process	GO:0009056	Catabolic process	32	1976	0.33	0.38	0.0091	9606.ENSP00000216225,9606.ENSP00000252951,9606.ENSP00000263228,9606.ENSP00000264346,9606.ENSP00000265605,9606.ENSP00000287156,9606.ENSP00000296161,9606.ENSP00000306565,9606.ENSP00000333266,9606.ENSP00000337354,9606.ENSP00000338348,9606.ENSP00000342278,9606.ENSP00000345575,9606.ENSP00000354201,9606.ENSP00000356436,9606.ENSP00000366395,9606.ENSP00000369373,9606.ENSP00000376840,9606.ENSP00000379038,9606.ENSP00000400646,9606.ENSP00000414922,9606.ENSP00000417401,9606.ENSP00000421380,9606.ENSP00000430269,9606.ENSP00000435460,9606.ENSP00000455607,9606.ENSP00000464087,9606.ENSP00000476480,9606.ENSP00000479130,9606.ENSP00000486676,9606.ENSP00000495556,9606.ENSP00000496832	RBX1,HBZ,UBE2R2,HERC6,ALDH8A1,UBE2L6,DTX3L,ISG20,UBA7,LIPA,UBE2G2,OAS2,DNAJB12,UBE2Z,PLA2G4A,SYVN1,TRIM5,BPGM,TYMP,PNPT1,USP41,HELZ2,SNF8,EPHX2,LGALS8,PHKG2,RNF213,NT5C3A,ACSF3,TREX1,TBL1X,ISG15
GO Process	GO:0032020	ISG15-protein conjugation	3	6	1.82	0.57	0.0091	9606.ENSP00000287156,9606.ENSP00000333266,9606.ENSP00000496832	UBE2L6,UBA7,ISG15
GO Process	GO:0140374	Antiviral innate immune response	4	22	1.38	0.54	0.0104	9606.ENSP00000360869,9606.ENSP00000369213,9606.ENSP00000381601,9606.ENSP00000388001	IFIT1,DDX58,MX1,OAS1
GO Process	GO:0080134	Regulation of response to stress	25	1373	0.38	0.38	0.0117	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000259951,9606.ENSP00000262384,9606.ENSP00000296161,9606.ENSP00000301838,9606.ENSP00000310042,9606.ENSP00000323511,9606.ENSP00000324204,9606.ENSP00000327760,9606.ENSP00000353512,9606.ENSP00000360869,9606.ENSP00000366395,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000370208,9606.ENSP00000378856,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000434024,9606.ENSP00000478396,9606.ENSP00000486676,9606.ENSP00000496832,9606.ENSP00000498321	OAS3,NMI,DHX58,HLA-F,N4BP1,DTX3L,FADD,ZNF622,PNKP,MTURN,CLASP2,PARP9,IFIT1,SYVN1,DDX58,TRIM5,RABGEF1,LGALS9,OAS1,PARP14,H2AX,TTI2,TREX1,ISG15,MYD88
GO Process	GO:0032680	Regulation of tumor necrosis factor production	8	164	0.81	0.47	0.0119	9606.ENSP00000228928,9606.ENSP00000301838,9606.ENSP00000342278,9606.ENSP00000369213,9606.ENSP00000378856,9606.ENSP00000388001,9606.ENSP00000486676,9606.ENSP00000498321	OAS3,FADD,OAS2,DDX58,LGALS9,OAS1,TREX1,MYD88
GO Process	GO:0032102	Negative regulation of response to external stimulus	12	387	0.61	0.43	0.0123	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000259951,9606.ENSP00000327760,9606.ENSP00000370208,9606.ENSP00000378856,9606.ENSP00000384638,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000486676,9606.ENSP00000496832	OAS3,NMI,DHX58,HLA-F,CLASP2,RABGEF1,LGALS9,CTNNA2,OAS1,PARP14,TREX1,ISG15
GO Process	GO:0019941	Modification-dependent protein catabolic process	15	589	0.52	0.41	0.0127	9606.ENSP00000216225,9606.ENSP00000263228,9606.ENSP00000264346,9606.ENSP00000287156,9606.ENSP00000296161,9606.ENSP00000333266,9606.ENSP00000338348,9606.ENSP00000345575,9606.ENSP00000354201,9606.ENSP00000366395,9606.ENSP00000414922,9606.ENSP00000421380,9606.ENSP00000464087,9606.ENSP00000495556,9606.ENSP00000496832	RBX1,UBE2R2,HERC6,UBE2L6,DTX3L,UBA7,UBE2G2,DNAJB12,UBE2Z,SYVN1,USP41,SNF8,RNF213,TBL1X,ISG15
GO Process	GO:0098586	Cellular response to virus	6	87	0.96	0.46	0.0168	9606.ENSP00000228928,9606.ENSP00000251642,9606.ENSP00000369213,9606.ENSP00000378856,9606.ENSP00000388001,9606.ENSP00000435460	OAS3,DHX58,DDX58,LGALS9,OAS1,LGALS8
GO Process	GO:0001818	Negative regulation of cytokine production	10	284	0.67	0.41	0.0182	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000259951,9606.ENSP00000262384,9606.ENSP00000359504,9606.ENSP00000370208,9606.ENSP00000378856,9606.ENSP00000388001	OAS3,NMI,DHX58,BST2,HLA-F,N4BP1,GBP1,RABGEF1,LGALS9,OAS1
GO Process	GO:0000209	Protein polyubiquitination	9	229	0.71	0.42	0.0184	9606.ENSP00000216225,9606.ENSP00000243346,9606.ENSP00000263228,9606.ENSP00000287156,9606.ENSP00000296161,9606.ENSP00000338348,9606.ENSP00000366395,9606.ENSP00000369373,9606.ENSP00000464087	RBX1,NMI,UBE2R2,UBE2L6,DTX3L,UBE2G2,SYVN1,TRIM5,RNF213
GO Process	GO:0039528	Cytoplasmic pattern recognition receptor signaling pathway in response to virus	3	11	1.55	0.42	0.0311	9606.ENSP00000228928,9606.ENSP00000251642,9606.ENSP00000369213	OAS3,DHX58,DDX58
GO Process	GO:0044237	Cellular metabolic process	72	6568	0.16	0.27	0.0318	9606.ENSP00000216225,9606.ENSP00000217109,9606.ENSP00000221086,9606.ENSP00000228928,9606.ENSP00000238651,9606.ENSP00000243346,9606.ENSP00000247003,9606.ENSP00000252951,9606.ENSP00000256722,9606.ENSP00000257915,9606.ENSP00000260447,9606.ENSP00000262384,9606.ENSP00000263228,9606.ENSP00000264346,9606.ENSP00000265605,9606.ENSP00000266735,9606.ENSP00000267425,9606.ENSP00000269373,9606.ENSP00000287156,9606.ENSP00000296161,9606.ENSP00000306565,9606.ENSP00000308236,9606.ENSP00000313921,9606.ENSP00000323511,9606.ENSP00000327255,9606.ENSP00000331849,9606.ENSP00000332444,9606.ENSP00000333212,9606.ENSP00000333266,9606.ENSP00000338348,9606.ENSP00000342278,9606.ENSP00000345575,9606.ENSP00000353512,9606.ENSP00000354201,9606.ENSP00000354255,9606.ENSP00000354687,9606.ENSP00000355206,9606.ENSP00000355574,9606.ENSP00000356436,9606.ENSP00000360247,9606.ENSP00000362803,9606.ENSP00000365522,9606.ENSP00000366395,9606.ENSP00000368688,9606.ENSP00000369373,9606.ENSP00000370208,9606.ENSP00000376840,9606.ENSP00000377724,9606.ENSP00000379038,9606.ENSP00000381266,9606.ENSP00000393978,9606.ENSP00000400646,9606.ENSP00000414922,9606.ENSP00000417401,9606.ENSP00000421380,9606.ENSP00000426083,9606.ENSP00000430269,9606.ENSP00000434024,9606.ENSP00000434776,9606.ENSP00000435460,9606.ENSP00000443216,9606.ENSP00000455607,9606.ENSP00000461930,9606.ENSP00000464087,9606.ENSP00000465734,9606.ENSP00000476480,9606.ENSP00000478874,9606.ENSP00000479130,9606.ENSP00000484580,9606.ENSP00000486676,9606.ENSP00000495556,9606.ENSP00000496832	RBX1,CSTF1,MTMR9,OAS3,ACOT2,NMI,DDX49,HBZ,CMPK2,TFCP2,GCHFR,N4BP1,UBE2R2,HERC6,ALDH8A1,SNRPF,NOP9,FN3KRP,UBE2L6,DTX3L,ISG20,COMMD1,MSRA,PNKP,PPM1A,MRPL54,CSTF2T,CYP2U1,UBA7,UBE2G2,OAS2,DNAJB12,PARP9,UBE2Z,CPZ,MT-ND1,MT-ND3,COA6,PLA2G4A,CYP2J2,PPIL1,C9orf64,SYVN1,LYRM7,TRIM5,RABGEF1,BPGM,ORMDL3,TYMP,WDR4,PRKD2,PNPT1,USP41,HELZ2,SNF8,ADH1C,EPHX2,H2AX,PARP10,LGALS8,TMEM258,PHKG2,MRPS21,RNF213,SLC16A2,NT5C3A,CAMK1D,ACSF3,PPP1R2,TREX1,TBL1X,ISG15
GO Process	GO:0002221	Pattern recognition receptor signaling pathway	6	101	0.89	0.38	0.0335	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000369213,9606.ENSP00000388001,9606.ENSP00000498321	OAS3,NMI,DHX58,DDX58,OAS1,MYD88
GO Process	GO:0035457	Cellular response to interferon-alpha	3	12	1.52	0.4	0.0367	9606.ENSP00000360876,9606.ENSP00000388001,9606.ENSP00000490935	IFIT3,OAS1,IFIT2
GO Process	GO:0140289	Protein mono-ADP-ribosylation	3	12	1.52	0.4	0.0367	9606.ENSP00000353512,9606.ENSP00000418194,9606.ENSP00000434776	PARP9,PARP14,PARP10
GO Process	GO:0032757	Positive regulation of interleukin-8 production	5	65	1.0	0.38	0.0373	9606.ENSP00000301838,9606.ENSP00000369213,9606.ENSP00000378856,9606.ENSP00000393978,9606.ENSP00000498321	FADD,DDX58,LGALS9,PRKD2,MYD88
GO Process	GO:0009987	Cellular process	131	14826	0.06	0.24	0.0397	9606.ENSP00000000412,9606.ENSP00000205636,9606.ENSP00000216225,9606.ENSP00000216416,9606.ENSP00000217109,9606.ENSP00000221086,9606.ENSP00000225576,9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000238651,9606.ENSP00000240079,9606.ENSP00000241502,9606.ENSP00000243346,9606.ENSP00000245185,9606.ENSP00000247003,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000252951,9606.ENSP00000256722,9606.ENSP00000257245,9606.ENSP00000257570,9606.ENSP00000257915,9606.ENSP00000260447,9606.ENSP00000261647,9606.ENSP00000262384,9606.ENSP00000262850,9606.ENSP00000263228,9606.ENSP00000264346,9606.ENSP00000265605,9606.ENSP00000266735,9606.ENSP00000267425,9606.ENSP00000269373,9606.ENSP00000277575,9606.ENSP00000287156,9606.ENSP00000296161,9606.ENSP00000301838,9606.ENSP00000305647,9606.ENSP00000306565,9606.ENSP00000308236,9606.ENSP00000310042,9606.ENSP00000310406,9606.ENSP00000313921,9606.ENSP00000320236,9606.ENSP00000320924,9606.ENSP00000323511,9606.ENSP00000327255,9606.ENSP00000327760,9606.ENSP00000331849,9606.ENSP00000332444,9606.ENSP00000333212,9606.ENSP00000333266,9606.ENSP00000333657,9606.ENSP00000337354,9606.ENSP00000338348,9606.ENSP00000342278,9606.ENSP00000345575,9606.ENSP00000353512,9606.ENSP00000354201,9606.ENSP00000354223,9606.ENSP00000354255,9606.ENSP00000354687,9606.ENSP00000354762,9606.ENSP00000355206,9606.ENSP00000355574,9606.ENSP00000356436,9606.ENSP00000357597,9606.ENSP00000357679,9606.ENSP00000357704,9606.ENSP00000359385,9606.ENSP00000359490,9606.ENSP00000359504,9606.ENSP00000360247,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000361499,9606.ENSP00000362649,9606.ENSP00000362803,9606.ENSP00000364382,9606.ENSP00000365522,9606.ENSP00000366098,9606.ENSP00000366395,9606.ENSP00000368468,9606.ENSP00000368688,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000370208,9606.ENSP00000371451,9606.ENSP00000371471,9606.ENSP00000376335,9606.ENSP00000376840,9606.ENSP00000377036,9606.ENSP00000377724,9606.ENSP00000378856,9606.ENSP00000379038,9606.ENSP00000381266,9606.ENSP00000381601,9606.ENSP00000384638,9606.ENSP00000388001,9606.ENSP00000393978,9606.ENSP00000397655,9606.ENSP00000400646,9606.ENSP00000414922,9606.ENSP00000417401,9606.ENSP00000420443,9606.ENSP00000421380,9606.ENSP00000426083,9606.ENSP00000429754,9606.ENSP00000430269,9606.ENSP00000433209,9606.ENSP00000434024,9606.ENSP00000434776,9606.ENSP00000435460,9606.ENSP00000443216,9606.ENSP00000454341,9606.ENSP00000455607,9606.ENSP00000461930,9606.ENSP00000463978,9606.ENSP00000464087,9606.ENSP00000465734,9606.ENSP00000476480,9606.ENSP00000478874,9606.ENSP00000479130,9606.ENSP00000480791,9606.ENSP00000484580,9606.ENSP00000484689,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000495556,9606.ENSP00000496713,9606.ENSP00000496832,9606.ENSP00000498321	M6PR,CMTM6,RBX1,CNIH1,CSTF1,MTMR9,TVP23C,SLC15A3,OAS3,ACOT2,WASHC3,FYTTD1,NMI,MT2A,DDX49,DHX58,BST2,HBZ,CMPK2,TIMM10,OASL,TFCP2,GCHFR,TTC19,N4BP1,RRAGB,UBE2R2,HERC6,ALDH8A1,SNRPF,NOP9,FN3KRP,USP6NL,UBE2L6,DTX3L,FADD,VAMP5,ISG20,COMMD1,ZNF622,RIN1,MSRA,TIMM22,WIPF2,PNKP,PPM1A,CLASP2,MRPL54,CSTF2T,CYP2U1,UBA7,MX2,LIPA,UBE2G2,OAS2,DNAJB12,PARP9,UBE2Z,MPC1,CPZ,MT-ND1,COA3,MT-ND3,COA6,PLA2G4A,TSPYL1,CHTOP,S100A4,GLMN,GBP4,GBP1,CYP2J2,IFIT1,IFIT3,YIPF3,HDAC1,PPIL1,PRXL2C,C9orf64,YIF1A,SYVN1,MCUR1,LYRM7,DDX58,TRIM5,RABGEF1,DNAJC21,RSAD2,GPR155,BPGM,PTPA,ORMDL3,LGALS9,TYMP,WDR4,MX1,CTNNA2,OAS1,PRKD2,ASB15,PNPT1,USP41,HELZ2,CNIH4,SNF8,ADH1C,SLC20A2,EPHX2,GSDMD,H2AX,PARP10,LGALS8,TMEM258,ARPP19,PHKG2,MRPS21,SLC16A3,RNF213,SLC16A2,NT5C3A,CAMK1D,ACSF3,FGF1,PPP1R2,IFITM2,TREX1,IFIT2,TBL1X,TUBB8B,ISG15,MYD88
GO Process	GO:0017004	Cytochrome complex assembly	4	37	1.15	0.35	0.0494	9606.ENSP00000261647,9606.ENSP00000354762,9606.ENSP00000355574,9606.ENSP00000368688	TTC19,COA3,COA6,LYRM7
GO Function	GO:0001730	2-5-oligoadenylate synthetase activity	4	4	2.12	0.83	0.0011	9606.ENSP00000228928,9606.ENSP00000257570,9606.ENSP00000342278,9606.ENSP00000388001	OAS3,OASL,OAS2,OAS1
